parish,village,category,year,population,households,under_5
KIBIRIZI,KIBIRIZI,ICCM,2020,1363.430725,227.2384541,241.3272383
MUHAMBO,NDUGUTU EAST,ICCM,2020,1032.806646,172.134441,182.8067763
MUHAMBO,NDUGUTU WEST,ICCM,2020,1063.245053,177.2075089,188.1943744
MUHAMBO,MAGHOMA,ICCM,2020,1716.096409,286.0160681,303.7490643
MUHAMBO,BUNYANGONI,ICCM,2020,1397.017933,232.8363221,247.2721741
BUGOYE,MURAMBA II,MCH,2020,1141.965072,190.327512,202.1278177
BUGOYE,RWAKINGI 1A,MCH,2020,793.497789,132.2496315,140.4491087
IBANDA,IBANDA I,MCH,2020,3075.328733,512.5547888,544.3331857
IBANDA,IBANDA II,MCH,2020,2859.111081,476.5185135,506.0626613
IBANDA,KIHARARA,MCH,2020,1043.302649,173.8837748,184.6645688
KATOOKE,KEMIHOKO,MCH,2020,796.6465898,132.7744316,141.0064464
KATOOKE,KIHINDI,MCH,2020,1124.121868,187.3536446,198.9695706
KATOOKE,KINYANGOYE,MCH,2020,1886.131649,314.3552749,333.8453019
KATOOKE,MAPATA,MCH,2020,831.283398,138.547233,147.1371614
KATOOKE,MULEHE,MCH,2020,1468.39075,244.7317916,259.9051627
KIBIRIZI,KASANZI,MCH,2020,560.4865335,93.41442225,99.20611643
MUHAMBO,KATUMBA,MCH,2020,1083.187458,180.531243,191.7241801
MUHAMBO,MUHAMBO,MCH,2020,1543.961968,257.3269946,273.2812683
